iso_code,continent,location,date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_deaths_per_million,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,stringency_index,gdp_per_capita,human_development_index,population
BRA,South America,Brazil,2020-01-05,0.0,0.0,,0.0,0.0,,0.0,,,0.0,14103.45,0.76,215313504
BRA,South America,Brazil,2020-01-06,0.0,0.0,,0.0,0.0,,0.0,,,0.0,14103.45,0.76,215313504
BRA,South America,Brazil,2020-01-07,0.0,0.0,,0.0,0.0,,0.0,,,0.0,14103.45,0.76,215313504
BRA,South America,Brazil,2020-01-08,0.0,0.0,,0.0,0.0,,0.0,,,0.0,14103.45,0.76,215313504
BRA,South America,Brazil,2020-01-09,0.0,0.0,,0.0,0.0,,0.0,,,0.0,14103.45,0.76,215313504
BRA,South America,Brazil,2020-01-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,14103.45,0.76,215313504
BRA,South America,Brazil,2020-01-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,14103.45,0.76,215313504
BRA,South America,Brazil,2020-01-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,14103.45,0.76,215313504
BRA,South America,Brazil,2020-01-13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,14103.45,0.76,215313504
BRA,South America,Brazil,2020-01-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,14103.45,0.76,215313504
BRA,South America,Brazil,2020-01-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,14103.45,0.76,215313504
BRA,South America,Brazil,2020-01-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,14103.45,0.76,215313504
BRA,South America,Brazil,2020-01-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,14103.45,0.76,215313504
BRA,South America,Brazil,2020-01-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,14103.45,0.76,215313504
BRA,South America,Brazil,2020-01-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,14103.45,0.76,215313504
BRA,South America,Brazil,2020-01-20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,14103.45,0.76,215313504
BRA,South America,Brazil,2020-01-21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,14103.45,0.76,215313504
BRA,South America,Brazil,2020-01-22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,14103.45,0.76,215313504
BRA,South America,Brazil,2020-01-23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,14103.45,0.76,215313504
BRA,South America,Brazil,2020-01-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,14103.45,0.76,215313504
BRA,South America,Brazil,2020-01-25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,14103.45,0.76,215313504
